package_name,installed_version,architecture,latest_version
aapt,1:6.0.1+r55-1,amd64,1:7.0.0+r1-2
acccheck,0.2.1-1kali4,amd64,0.2.1-3
accountsservice,0.6.40-3,amd64,0.6.43-1
adwaita-icon-theme,3.20-3,all,3.22.0-1
afflib-tools,3.7.8-1,amd64,3.7.15-1
aircrack-ng,1:1.2-0~rc4-0kali5,amd64,1:1.2-0~rc4-2
alsa-tools,1.1.0-1,amd64,1.1.3-1
amd64-microcode,3.20160316.1,amd64,3.20160316.3
android-framework-res,1:6.0.1+r55-1,all,1:7.0.0+r1-2
android-libaapt,1:6.0.1+r55-1,amd64,1:7.0.0+r1-2
android-libandroidfw,1:6.0.1+r55-1,amd64,1:7.0.0+r1-2
android-libbacktrace,1:6.0.1+r55-1,amd64,1:7.0.0+r1-2
android-libbase,1:6.0.1+r55-1,amd64,1:7.0.0+r1-2
android-libcutils,1:6.0.1+r55-1,amd64,1:7.0.0+r1-2
android-liblog,1:6.0.1+r55-1,amd64,1:7.0.0+r1-2
android-libunwind,6.0.1+r55-1,amd64,7.0.0+r1-4
android-libutils,1:6.0.1+r55-1,amd64,1:7.0.0+r1-2
android-libziparchive,1:6.0.1+r55-1,amd64,1:7.0.0+r1-2
apache2,2.4.23-4,amd64,2.4.25-3
apache2-bin,2.4.23-4,amd64,2.4.25-3
apache2-data,2.4.23-4,all,2.4.25-3
apache2-utils,2.4.23-4,amd64,2.4.25-3
apktool,2.2.0+dfsg-1,all,2.2.1+dfsg-2
appstream,0.9.8-4,amd64,0.10.6-1
apt,1.3~rc2,amd64,1.4~rc1
apt-listchanges,3.3,all,3.8
apt-utils,1.3~rc2,amd64,1.4~rc1
aptitude,0.8.3-1,amd64,0.8.5-1
aptitude-common,0.8.3-1,all,0.8.5-1
aptitude-doc-en,0.8.3-1,all,0.8.5-1
arduino,2:1.0.5+dfsg2-4,all,2:1.0.5+dfsg2-4.1
arduino-core,2:1.0.5+dfsg2-4,all,2:1.0.5+dfsg2-4.1
arp-scan,1.9-0kali1,amd64,1.9-1
aspell-en,2016.06.26-0-0.1,all,2016.11.20-0-0.1
at,3.1.20-1,amd64,3.1.20-3
at-spi2-core,2.20.2-1,amd64,2.22.0-5
atftpd,0.7.git20120829-2.1,amd64,0.7.git20120829-3+b1
automake,1:1.15-4,all,1:1.15-6
autopoint,0.19.8.1-1,all,0.19.8.1-2
autotools-dev,20160430.1,all,20161112.1
avahi-daemon,0.6.32-1,amd64,0.6.32-2
avrdude,6.3-1,amd64,6.3-2
axel,2.11-1,amd64,2.12-1
backdoor-factory,3.4.1-0kali1,all,3.4.2-0kali1
baobab,3.20.1-1,amd64,3.22.1-1
base-passwd,3.5.40,amd64,3.5.43
bash,4.3-15,amd64,4.4-4
bbqsql,1.1-1kali0,amd64,1.1-2
bc,1.06.95-9+b1,amd64,1.06.95-9+b2
bdfproxy,0.3.9-0kali1,all,0.3.9-0kali2
bed,0.5-1kali4,amd64,0.5-1kali5
beef-xss,0.4.7.0-0kali3,all,0.4.7.0-0kali4
bind9-host,1:9.10.3.dfsg.P4-10.1,amd64,1:9.10.3.dfsg.P4-11
binfmt-support,2.1.6-1,amd64,2.1.6-2
binutils,2.26.1-1,amd64,2.27.90.20170124-2
binutils-mingw-w64-i686,2.26-3+6.6,amd64,2.27.90.20161231-1+7.4
binutils-mingw-w64-x86-64,2.26-3+6.6,amd64,2.27.90.20161231-1+7.4
binwalk,2.1.1-9,all,2.1.1-16
bluez,5.36-1+b2,amd64,5.43-1
bluez-hcidump,5.36-1+b2,amd64,5.43-1
bluez-obexd,5.36-1+b2,amd64,5.43-1
braa,0.82-1kali3,amd64,0.82-2
bsdmainutils,9.0.10,amd64,9.0.12
bsdutils,1:2.28.1-1,amd64,1:2.29.1-1
build-essential,12.2,amd64,12.3
bundler,1.12.5-3,all,1.13.6-2
burp,1.4.40-2,amd64,2.0.54-1
busybox,1:1.22.0-19,amd64,1:1.22.0-19+b1
bzip2,1.0.6-8,amd64,1.0.6-8.1
ca-certificates-java,20160321,all,20161107
ca-certificates-mono,4.6.1.3+dfsg-8,all,4.6.2.7+dfsg-1
cadaver,0.23.3-2+b4,amd64,0.23.3-2+b5
cewl,5.2-1,all,5.3-1
cgpt,0~R52-8350.B-1,amd64,0~R52-8350.B-2
cheese-common,3.20.2-2,all,3.22.1-1
chirp,1:20160717-1,amd64,1:20170124-1
chkrootkit,0.50-3.2,amd64,0.50-4
clang,1:3.6-33,amd64,1:3.8-34+b1
cmake,3.6.1-1,amd64,3.7.2-1
cmake-data,3.6.1-1,all,3.7.2-1
colord,1.3.2-1,amd64,1.3.3-2
colord-data,1.3.2-1,all,1.3.3-2
comerr-dev,2.1-1.43.1-1,amd64,2.1-1.43.4-2
console-setup,1.147,all,1.158
console-setup-linux,1.147,all,1.158
coreutils,8.25-2,amd64,8.26-2
cpio,2.11+dfsg-5,amd64,2.11+dfsg-6
cpp,4:6.1.1-1,amd64,4:6.3.0-1
cpp-5,5.4.1-1,amd64,5.4.1-4
cpp-6,6.1.1-11,amd64,6.3.0-6
cramfsswap,1.4.1-1,amd64,1.4.1-1.1
crda,3.13-1+b1,amd64,3.18-1
cryptsetup,2:1.7.0-2kali1,amd64,2:1.7.3-3kali1
cryptsetup-bin,2:1.7.0-2kali1,amd64,2:1.7.3-3kali1
cups-bsd,2.1.4-4,amd64,2.2.1-8
cups-client,2.1.4-4,amd64,2.2.1-8
cups-common,2.1.4-4,all,2.2.1-8
curl,7.50.1-1,amd64,7.52.1-2
dash,0.5.8-2.3,amd64,0.5.8-2.4
dbus,1.10.10-1,amd64,1.10.14-1
dbus-user-session,1.10.10-1,all,1.10.14-1
dbus-x11,1.10.10-1,amd64,1.10.14-1
dc,1.06.95-9+b1,amd64,1.06.95-9+b2
dc3dd,7.2.641-3,amd64,7.2.646-1
dcfldd,1.3.4.1-9,amd64,1.3.4.1-10
dconf-cli,0.26.0-1,amd64,0.26.0-2
dconf-editor,3.20.3-1,amd64,3.22.3-1
dconf-gsettings-backend,0.26.0-1,amd64,0.26.0-2
dconf-service,0.26.0-1,amd64,0.26.0-2
dconf-tools,0.26.0-1,all,0.26.0-2
debconf,1.5.59,all,1.5.60
debconf-i18n,1.5.59,all,1.5.60
debhelper,9.20160814,all,10.2.5
debianutils,4.8,amd64,4.8.1
debtags,2.1.1,all,2.1.2
default-jdk,2:1.8-57,amd64,2:1.8-58
default-jdk-headless,2:1.8-57,amd64,2:1.8-58
default-jre,2:1.8-57,amd64,2:1.8-58
default-jre-headless,2:1.8-57,amd64,2:1.8-58
desktop-base,8.0.2+kalidev4,all,9.0.2+kali3
dh-autoreconf,12,all,13
dh-python,2.20160818,all,2.20170125
dh-strip-nondeterminism,0.023-2,all,0.029-2
dictionaries-common,1.27.1,all,1.27.2
diffutils,1:3.3-3,amd64,1:3.5-3
distro-info-data,0.29,all,0.33
dkms,2.2.1.0+git20160527-1,all,2.3-2
dleyna-server,0.4.0-1,amd64,0.4.0-1.1
dmeventd,2:1.02.133-1,amd64,2:1.02.137-1
dmidecode,3.0-3,amd64,3.0-4
dmsetup,2:1.02.133-1,amd64,2:1.02.137-1
dnsmasq-base,2.76-3,amd64,2.76-5
dnsrecon,0.8.9-0kali1,amd64,0.8.9-1
dnstracer,1.9-4kali2,amd64,1.9-5
dnsutils,1:9.10.3.dfsg.P4-10.1,amd64,1:9.10.3.dfsg.P4-11
docutils-common,0.12+dfsg-1,all,0.13.1+dfsg-2
docutils-doc,0.12+dfsg-1,all,0.13.1+dfsg-2
doona,0.7+git20131211-1kali0,all,1.0+git20160212-1
dos2unix,6.0.4-1,amd64,7.3.4-3
dosfstools,4.0-2,amd64,4.1-1
dpkg,1.18.10kali1,amd64,1.18.22kali1
dpkg-dev,1.18.10kali1,all,1.18.22kali1
dradis,3.1.0~rc2+git20160609-0kali2,amd64,3.1.0~rc2+git20160609-0kali4
dsniff,2.4b1+debian-22.1+b2,amd64,2.4b1+debian-23
dwarfdump,20160613-3,amd64,20161124-1
e2fslibs,1.43.1-1,amd64,1.43.4-2
e2fsprogs,1.43.1-1,amd64,1.43.4-2
empathy,3.12.12-2,amd64,3.12.12-4
empathy-common,3.12.12-2,all,3.12.12-4
eog,3.20.4-1,amd64,3.20.5-1
espeak-data,1.48.04+dfsg-3,amd64,1.48.04+dfsg-5
ethtool,1:4.6-1,amd64,1:4.8-1
ettercap-common,1:0.8.2-2+b1,amd64,1:0.8.2-3
ettercap-graphical,1:0.8.2-2+b1,amd64,1:0.8.2-3
evince,3.20.1-1,amd64,3.22.1-3
evince-common,3.20.1-1,all,3.22.1-3
evolution-data-server,3.20.5-1,amd64,3.22.4-1
evolution-data-server-common,3.20.5-1,all,3.22.4-1
ewf-tools,20140608-6+b1,amd64,20140608-6+b2
exim4,4.87-3,all,4.88-5
exim4-base,4.87-3,amd64,4.88-5
exim4-config,4.87-3,all,4.88-5
exim4-daemon-light,4.87-3,amd64,4.88-5
exploitdb,20160830-0kali1,all,20170214-0kali1
fakeroot,1.21-1,amd64,1.21-3.1
fcrackzip,1.0-7,amd64,1.0-8
